id,publisher,publisher_id
47410,FireFly Studios,-503110355
42710,Activision,-1606173463
24200,Daybreak Game Company,826812775
627270,WB Games,-2025075935
236110,Trendy Entertainment,359391205
438020,New Reality Games,-1272302406
1250,Tripwire Interactive,-644447441
365670,Blender Foundation,-650819118
307780,Warner Bros. Interactive Entertainment,-750143379
42680,Activision,-1606173463
42680,Aspyr,802383246
108600,The Indie Stone,348153384
454180,Anea_Duo_Dev,289734902
564710,Armor Games Studios,8406446
361420,System Era Softworks,1133392622
285190,SEGA,1417143641
285190,Feral Interactive,-1186516368
10180,Activision,-1606173463
10180,Aspyr,802383246
113200,Edmund McMillen,364773581
287390,Deep Silver,1887085205
363890,Degica,1728867434
357290,KishMish Games,-1281661481
204360,The Behemoth,2052857987
374040,505 Games,-1958266213
269950,Laminar Research,1606567854
465650,Out of the Park Developments,-1218976638
641990,Team17 Digital Ltd,1604141760
557400,Holyday Studios,509480707
537180,MOVE ON USA CO.,1826712187
215080,Ankama Games,434520961
289130,SEGA,1417143641
302830,Novalink,-1624573217
8870,2K,-12454423
8870,Aspyr,802383246
204300,Ronimo Games,459379686
224260,Lever Games,1298002458
212160,NEXON Korea Corp. & NEXON America Inc.,-1259050220
558990,Zachtronics,-429104399
3900,2K,-12454423
589290,Anvil Game Studios,1706803794
502520,Game-Labs,198325054
609150,Square Enix,-1704654576
496460,Bitbox Ltd.,-2063578894
32370,LucasArts,512719419
32370,Aspyr,802383246
32370,Disney Interactive,-483919086
32370,Lucasfilm,1203862585
466170,Shugasu GmbH,956283
9450,SEGA,1417143641
203290,U.S. Army,97751
306020,Ninja Kiwi,1215120613
287450,Xbox Game Studios,-1251139035
42960,Paradox Interactive,-1113012495
610120,Anate Studio,834589861
236690,Focus Home Interactive,-1378653689
434170,"Jackbox Games, Inc.",-1067790504
370240,2K,-12454423
427270,Robot Entertainment,-464084519
2870,Egosoft,690757844
234630,Slightly Mad Studios,-882176475
234630,BANDAI NAMCO Entertainment,-1127678441
249130,Warner Bros. Interactive Entertainment,-750143379
249130,Feral Interactive,-1186516368
226860,Stardock Entertainment,-1161147646
236430,BANDAI NAMCO Entertainment,-1127678441
236430,"FromSoftware, Inc",-314300996
47810,Electronic Arts,560145306
200260,Warner Bros. Interactive Entertainment,-750143379
200260,Feral Interactive,-1186516368
238090,Rebellion,1866442855
228280,Beamdog,-998022687
285920,Payload Studios,772693888
210770,Coffee Stain Publishing,-962112595
268420,Aeria Games,-1208202266
400,Valve,-2110134855
368070,CI Games,1821618302
331470,Soviet Games,-1473387822
495910,Neople,839302694
312530,Adult Swim Games,-326115944
238460,The Behemoth,2052857987
311310,Game-Labs,198325054
365960,Studio 397,309342843
581600,JDRumble,48384544
722060,Illwinter Game Design,-1199347466
365360,Overhype Studios,-181396778
292730,Activision,-1606173463
70,Valve,-2110134855
388660,JDRumble,48384544
368500,Ubisoft,-2080260409
