appid,Year,Month,mean,max
533180,2020,5,0.0024716324008538,1.0
533180,2018,6,2.816146618721726,129.0
533180,2019,6,0.8151865847897969,31.0
533180,2020,6,0.0025746050321825,1.0
533180,2018,7,1.2926113931190073,96.0
533180,2019,7,0.6609071274298056,22.0
533180,2020,7,0.0017993702204228,1.0
533180,2018,8,6.093004948268106,204.0
533180,2019,8,0.0033741986278258,1.0
533180,2020,8,0.0,0.0
533180,2018,9,8.389359972122199,201.0
533180,2019,9,0.0021082220660576,1.0
533180,2018,10,5.197070422535211,397.0
533180,2019,10,0.0,0.0
533180,2018,11,4.501973073351904,128.0
533180,2019,11,0.0018816888157121,1.0
533180,2017,12,34.81445689988404,497.0
533180,2018,12,0.1397306397306397,15.0
533180,2019,12,0.1268909460374802,16.0
533340,2018,1,0.6532974742750234,65.0
533340,2019,1,1.5322343908772722,173.0
533340,2020,1,0.0780669144981412,20.0
533340,2018,2,9.304873137333871,410.0
533340,2019,2,1.907386716325264,173.0
533340,2020,2,0.0153587712982961,1.0
533340,2018,3,5.029022859704169,220.0
533340,2019,3,0.4764712552443588,59.0
533340,2020,3,1.984424025100852,198.0
533340,2018,4,0.0542455569752584,2.0
533340,2019,4,2.45947842357619,58.0
533340,2020,4,1.0680343069077425,151.0
533340,2018,5,0.0774924301895256,3.0
533340,2019,5,0.0375813327350235,2.0
533340,2020,5,0.0581577767817122,4.0
533340,2018,6,0.622420588917227,25.0
533340,2019,6,0.1211129296235679,5.0
533340,2020,6,0.0382418094904978,1.0
533340,2018,7,0.8394505741950011,15.0
533340,2019,7,0.1653764164703242,4.0
533340,2020,7,0.0536054726926096,3.0
533340,2018,8,3.838680726946377,442.0
533340,2019,8,1.3672759896826288,134.0
533340,2020,8,0.004644412191582,1.0
533340,2018,9,2.405731523378582,101.0
533340,2019,9,1.2208581784169297,200.0
533340,2018,10,0.0997643362136685,21.0
533340,2019,10,0.0147738806811773,1.0
533340,2018,11,0.4721900347624565,26.0
533340,2019,11,0.0101718695194668,1.0
533340,2017,12,2.239629558170944,41.0
533340,2018,12,0.1692652832305103,14.0
533340,2019,12,0.0129025019634242,1.0
533780,2018,1,81.02038043478261,161.0
533780,2019,1,27.355886332882275,50.0
533780,2020,1,29.66983695652174,58.0
533780,2018,2,79.55948553054662,139.0
533780,2019,2,26.85223880597015,58.0
533780,2020,2,27.16255442670537,59.0
533780,2018,3,69.56182795698925,132.0
533780,2019,3,25.34109589041096,49.0
533780,2020,3,33.48092643051771,66.0
533780,2018,4,69.32172701949861,134.0
533780,2019,4,24.15819209039548,45.0
533780,2020,4,35.86415711947627,68.0
533780,2018,5,68.03225806451613,138.0
533780,2019,5,27.73187414500684,72.0
533780,2020,5,32.975376196990425,58.0
533780,2018,6,61.66898470097357,114.0
533780,2019,6,23.04005722460658,48.0
533780,2020,6,25.43098591549296,59.0
533780,2018,7,53.3978349120433,116.0
533780,2019,7,22.262295081967213,41.0
533780,2020,7,22.797043010752688,43.0
533780,2018,8,55.37432432432433,105.0
533780,2019,8,22.394062078272604,43.0
533780,2020,8,20.14982578397213,39.0
533780,2018,9,51.01813110181311,88.0
533780,2019,9,23.9789029535865,48.0
533780,2018,10,34.55074424898511,100.0
533780,2019,10,23.392953929539296,53.0
533780,2018,11,32.55804195804196,68.0
533780,2019,11,38.11830985915493,84.0
533780,2017,12,67.28935185185185,120.0
533780,2018,12,29.203504043126685,52.0
533780,2019,12,28.902439024390244,61.0
535230,2018,1,121.65578231292515,797.0
535230,2019,1,85.45074224021593,208.0
535230,2020,1,79.99460188933872,254.0
535230,2018,2,121.70370370370372,1475.0
535230,2019,2,53.96577380952381,104.0
535230,2020,2,47.96829971181556,97.0
535230,2018,3,202.7335127860027,627.0
535230,2019,3,69.6757493188011,191.0
535230,2020,3,49.67204301075269,93.0
535230,2018,4,102.2231520223152,371.0
535230,2019,4,169.9338959212377,870.0
535230,2020,4,44.84540389972145,82.0
535230,2018,5,49.49596774193548,90.0
535230,2019,5,59.18279569892473,136.0
535230,2020,5,70.9986541049798,144.0
535230,2018,6,89.04589707927677,427.0
535230,2019,6,65.06346967559944,164.0
535230,2020,6,59.21178120617111,191.0
535230,2018,7,98.96756756756756,288.0
535230,2019,7,38.82637954239569,73.0
535230,2020,7,73.03629032258064,177.0
535230,2018,8,61.43682795698925,148.0
535230,2019,8,37.24899057873486,79.0
535230,2020,8,44.55052264808362,76.0
535230,2018,9,58.61752433936022,116.0
535230,2019,9,37.4179523141655,81.0
535230,2018,10,49.19489247311828,105.0
535230,2019,10,43.36671177266577,103.0
535230,2018,11,44.71129707112971,87.0
535230,2019,11,65.0492264416315,139.0
535230,2017,12,121.92361111111111,502.0
535230,2018,12,80.52956989247312,243.0
535230,2019,12,115.8384925975774,300.0
535260,2018,1,3.931129476584022,46.0
535260,2019,1,0.0445945945945946,2.0
535260,2020,1,0.0850202429149797,1.0
535260,2018,2,3.076923076923077,133.0
535260,2019,2,0.0163690476190476,1.0
535260,2020,2,0.0244604316546762,1.0
535260,2018,3,0.1292059219380888,2.0
535260,2019,3,0.0599455040871934,1.0
535260,2020,3,0.010752688172043,1.0
535260,2018,4,0.0738161559888579,2.0
535260,2019,4,0.0281293952180028,1.0
535260,2020,4,0.0083565459610027,1.0
535260,2018,5,0.0456989247311828,2.0
535260,2019,5,0.032258064516129,1.0
535260,2020,5,0.021505376344086,1.0
535260,2018,6,0.0945757997218358,2.0
535260,2019,6,0.0127118644067796,1.0
535260,2020,6,0.0153846153846153,1.0
535260,2018,7,0.0418918918918918,1.0
535260,2019,7,0.0269541778975741,1.0
535260,2020,7,0.0981182795698924,7.0
535260,2018,8,0.0336473755047106,1.0
535260,2019,8,0.0148247978436657,1.0
535260,2020,8,0.0,0.0
535260,2018,9,0.201949860724234,5.0
535260,2019,9,0.0126227208976157,1.0
